Date,Day,Month Name,Quarter,Year,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades,Month No,Stock Name
14-02-2025,Friday,February,Q1,2025,EQ,1219,1224,1205.45,1216.1,1214.75,1217.25,1215.1,3217.6,1193.35,10298145,12513277267,202314,2,Reliance
13-02-2025,Thursday,February,Q1,2025,EQ,1217.05,1228,1212,1216.55,1216.2,1216.1,1219.6,3217.6,1193.35,8511216,10380276762,266249,2,Reliance
12-02-2025,Wednesday,February,Q1,2025,EQ,1219.45,1226.9,1193.35,1234.85,1217.05,1216.55,1211.39,3217.6,1193.35,21131654,25598619531,404276,2,Reliance
11-02-2025,Tuesday,February,Q1,2025,EQ,1264.55,1264.55,1230.1,1253.65,1237.55,1234.85,1244.26,3217.6,1201.5,8859714,11023757523,240683,2,Reliance
10-02-2025,Monday,February,Q1,2025,EQ,1264.5,1266.5,1245.55,1266.7,1254.65,1253.65,1251.52,3217.6,1201.5,6970972,8724286361,173316,2,Reliance
07-02-2025,Friday,February,Q1,2025,EQ,1276.15,1283.7,1262,1281.55,1266.5,1266.7,1270.98,3217.6,1201.5,8764283,11139240963,174531,2,Reliance
06-02-2025,Thursday,February,Q1,2025,EQ,1273.7,1288,1270.35,1278.2,1283,1281.55,1279.27,3217.6,1201.5,9956001,12736385821,217888,2,Reliance
05-02-2025,Wednesday,February,Q1,2025,EQ,1282.65,1290.5,1276.7,1285.2,1278.5,1278.2,1281.97,3217.6,1201.5,10112028,12963336513,219550,2,Reliance
04-02-2025,Tuesday,February,Q1,2025,EQ,1248.05,1288.8,1246.6,1245.9,1282.9,1285.2,1273.65,3217.6,1201.5,16691069,21258496965,323415,2,Reliance
03-02-2025,Monday,February,Q1,2025,EQ,1251,1256,1237.55,1264.6,1247,1245.9,1247.14,3217.6,1201.5,9252345,11538963041,268425,2,Reliance
01-02-2025,Saturday,February,Q1,2025,EQ,1265.1,1270.55,1241,1265.1,1264,1264.6,1260.42,3217.6,1201.5,7118453,8972248877,143258,2,Reliance
31-01-2025,Friday,January,Q1,2025,EQ,1255.85,1267,1249,1253.05,1266,1265.1,1261.32,3217.6,1201.5,6584612,8305291978,169481,1,Reliance
30-01-2025,Thursday,January,Q1,2025,EQ,1235.55,1257,1232.4,1235.5,1253.15,1253.05,1249.15,3217.6,1201.5,9269259,11578693153,227871,1,Reliance
29-01-2025,Wednesday,January,Q1,2025,EQ,1236,1242.75,1228.05,1234.4,1237.25,1235.5,1236.66,3217.6,1201.5,5928156,7331119896,167073,1,Reliance
28-01-2025,Tuesday,January,Q1,2025,EQ,1238,1244.75,1218.5,1229.35,1235,1234.4,1232.65,3217.6,1201.5,10568025,13026673067,286863,1,Reliance
27-01-2025,Monday,January,Q1,2025,EQ,1239.1,1240.45,1220,1246.3,1229,1229.35,1229.35,3217.6,1201.5,9536019,11723127884,368025,1,Reliance
24-01-2025,Friday,January,Q1,2025,EQ,1266,1273,1243.5,1263.65,1244.45,1246.3,1252.27,3217.6,1201.5,14235970,17827272395,263461,1,Reliance
23-01-2025,Thursday,January,Q1,2025,EQ,1270,1277.35,1261.6,1277.1,1264.9,1263.65,1267.52,3217.6,1201.5,8720682,11053624693,188421,1,Reliance
22-01-2025,Wednesday,January,Q1,2025,EQ,1278.3,1282.9,1268.7,1273.7,1278,1277.1,1276.09,3217.6,1201.5,10273590,13110004095,239816,1,Reliance
21-01-2025,Tuesday,January,Q1,2025,EQ,1310.5,1313,1270.2,1305.45,1277.6,1273.7,1284.79,3217.6,1201.5,14562976,18710366859,325783,1,Reliance
20-01-2025,Monday,January,Q1,2025,EQ,1316,1316,1300.25,1302.35,1304,1305.45,1307.82,3217.6,1201.5,14040244,18362047247,280553,1,Reliance
17-01-2025,Friday,January,Q1,2025,EQ,1322.25,1326,1285,1266.45,1300,1302.35,1300.8,3217.6,1201.5,29366277,38199728794,594018,1,Reliance
