Date ,Day,Month Name,Quarter,Year,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
06-12-2024,Friday,December,Q4,2024,EQ,1857.00,1864.20,1844.00,1865.75,1855.45,1855.85,1856.73,1879.95,1363.55,8891578.00,16509303748.10,306905.00
05-12-2024,Thursday,December,Q4,2024,EQ,1860.00,1879.95,1835.20,1860.10,1864.85,1865.75,1862.43,1879.95,1363.55,19841357.00,36953040114.30,436462.00
04-12-2024,Wednesday,December,Q4,2024,EQ,1838.00,1865.00,1831.15,1826.30,1856.80,1860.10,1854.85,1865.00,1363.55,22334542.00,41427249107.90,436235.00
03-12-2024,Tuesday,December,Q4,2024,EQ,1822.70,1837.40,1816.10,1804.70,1825.30,1826.30,1827.25,1837.40,1363.55,21705121.00,39660723545.25,304635.00
02-12-2024,Monday,December,Q4,2024,EQ,1803.50,1808.15,1775.00,1796.05,1805.95,1804.70,1791.81,1836.10,1363.55,7555438.00,13537940498.05,219254.00
29-11-2024,Friday,November,Q4,2024,EQ,1801.30,1804.60,1782.90,1793.15,1795.50,1796.05,1793.91,1836.10,1363.55,13834768.00,24818389358.55,377555.00
28-11-2024,Thursday,November,Q4,2024,EQ,1819.00,1836.10,1788.00,1812.30,1793.00,1793.15,1808.45,1836.10,1363.55,17861196.00,32301109888.90,379898.00
27-11-2024,Wednesday,November,Q4,2024,EQ,1789.90,1817.35,1785.15,1785.55,1809.50,1812.30,1801.57,1817.35,1363.55,16357488.00,29469224217.60,330771.00
26-11-2024,Tuesday,November,Q4,2024,EQ,1810.00,1810.00,1769.80,1785.60,1786.40,1785.55,1784.75,1810.00,1363.55,15467783.00,27606061237.40,261322.00
25-11-2024,Monday,November,Q4,2024,EQ,1785.05,1803.55,1764.90,1745.60,1778.95,1785.60,1784.46,1803.55,1363.55,213868637.00,381639143690.10,600228.00
22-11-2024,Friday,November,Q4,2024,EQ,1743.55,1754.30,1729.55,1741.20,1742.10,1745.60,1743.57,1794.00,1363.55,12386806.00,21597223792.50,260956.00
21-11-2024,Thursday,November,Q4,2024,EQ,1749.40,1759.00,1734.20,1742.25,1739.95,1741.20,1743.63,1794.00,1363.55,17858256.00,31138162734.40,368837.00
19-11-2024,Tuesday,November,Q4,2024,EQ,1714.00,1753.75,1702.70,1705.10,1736.00,1742.25,1739.10,1794.00,1363.55,25490636.00,44330862947.85,458303.00
18-11-2024,Monday,November,Q4,2024,EQ,1700.00,1718.90,1695.00,1692.75,1708.30,1705.10,1707.94,1794.00,1363.55,13540984.00,23127123855.10,291631.00
14-11-2024,Thursday,November,Q4,2024,EQ,1673.10,1704.85,1672.10,1681.35,1692.40,1692.75,1692.96,1794.00,1363.55,13573235.00,22978907908.45,331159.00
13-11-2024,Wednesday,November,Q4,2024,EQ,1716.75,1729.40,1673.00,1718.20,1688.15,1681.35,1699.70,1794.00,1363.55,17864250.00,30363947641.30,384592.00
12-11-2024,Tuesday,November,Q4,2024,EQ,1772.00,1775.00,1708.65,1766.30,1719.00,1718.20,1731.71,1794.00,1363.55,15697703.00,27183831491.15,410691.00
11-11-2024,Monday,November,Q4,2024,EQ,1754.55,1782.80,1751.20,1754.45,1763.90,1766.30,1768.85,1794.00,1363.55,12282681.00,21726235735.65,366875.00
08-11-2024,Friday,November,Q4,2024,EQ,1752.00,1761.80,1745.85,1746.55,1751.90,1754.45,1754.62,1794.00,1363.55,9951493.00,17461070459.45,253333.00
07-11-2024,Thursday,November,Q4,2024,EQ,1744.30,1760.95,1738.00,1755.25,1743.50,1746.55,1746.60,1794.00,1363.55,9447728.00,16501384112.80,315964.00
06-11-2024,Wednesday,November,Q4,2024,EQ,1771.50,1771.50,1745.35,1757.85,1756.00,1755.25,1753.58,1794.00,1363.55,13893955.00,24364201740.05,249677.00
05-11-2024,Tuesday,November,Q4,2024,EQ,1703.00,1762.70,1697.90,1714.10,1753.50,1757.85,1736.40,1794.00,1363.55,22116203.00,38402543188.05,362395.00
04-11-2024,Monday,November,Q4,2024,EQ,1745.00,1745.00,1710.90,1737.30,1716.80,1714.10,1723.47,1794.00,1363.55,14044624.00,24205513156.95,342162.00
01-11-2024,Friday,November,Q4,2024,EQ,1733.00,1744.10,1726.10,1735.70,1737.00,1737.30,1738.79,1794.00,1363.55,879846.00,1529870165.60,69860.00
31-10-2024,Thursday,October,Q4,2024,EQ,1728.00,1738.90,1719.40,1734.60,1734.30,1735.70,1731.49,1794.00,1363.55,11447956.00,19822046508.90,277300.00
30-10-2024,Wednesday,October,Q4,2024,EQ,1742.00,1754.75,1724.20,1751.85,1737.00,1734.60,1736.38,1794.00,1363.55,16357862.00,28403432611.95,350916.00
29-10-2024,Tuesday,October,Q4,2024,EQ,1726.15,1764.00,1725.10,1734.20,1749.75,1751.85,1744.14,1794.00,1363.55,17897463.00,31215711397.75,381375.00
28-10-2024,Monday,October,Q4,2024,EQ,1742.00,1751.00,1728.90,1743.40,1737.00,1734.20,1738.17,1794.00,1363.55,11006071.00,19130422535.50,334425.00
25-10-2024,Friday,October,Q4,2024,EQ,1755.00,1757.85,1728.70,1749.65,1745.80,1743.40,1740.64,1794.00,1363.55,13065239.00,22741861620.40,337950.00
24-10-2024,Thursday,October,Q4,2024,EQ,1738.10,1768.65,1738.10,1735.80,1750.50,1749.65,1755.99,1794.00,1363.55,15416129.00,27070510755.60,342755.00
23-10-2024,Wednesday,October,Q4,2024,EQ,1705.05,1746.50,1705.05,1714.55,1736.20,1735.80,1736.32,1794.00,1363.55,19018045.00,33021503108.55,386048.00
22-10-2024,Tuesday,October,Q4,2024,EQ,1730.05,1740.00,1710.70,1728.70,1714.80,1714.55,1721.78,1794.00,1363.55,19437640.00,33467338354.45,411821.00
21-10-2024,Monday,October,Q4,2024,EQ,1715.00,1748.15,1711.05,1681.85,1725.00,1728.70,1732.82,1794.00,1363.55,23274177.00,40330032735.80,574448.00
18-10-2024,Friday,October,Q4,2024,EQ,1663.10,1691.00,1654.10,1673.15,1684.80,1681.85,1674.90,1794.00,1363.55,12404862.00,20776848848.90,232916.00
17-10-2024,Thursday,October,Q4,2024,EQ,1694.95,1697.65,1665.20,1699.80,1672.70,1673.15,1676.22,1794.00,1363.55,7347866.00,12316627212.90,199044.00
16-10-2024,Wednesday,October,Q4,2024,EQ,1680.10,1707.95,1680.10,1684.10,1700.45,1699.80,1698.75,1794.00,1363.55,10235341.00,17387334812.90,244836.00
15-10-2024,Tuesday,October,Q4,2024,EQ,1694.00,1698.00,1675.50,1688.10,1686.00,1684.10,1684.09,1794.00,1363.55,9825565.00,16547093800.10,195771.00
14-10-2024,Monday,October,Q4,2024,EQ,1656.05,1692.05,1654.00,1651.00,1689.00,1688.10,1682.72,1794.00,1363.55,9263754.00,15588285093.55,261742.00
11-10-2024,Friday,October,Q4,2024,EQ,1664.45,1664.45,1643.25,1662.40,1651.50,1651.00,1651.51,1794.00,1363.55,11836297.00,19547719278.00,186378.00
10-10-2024,Thursday,October,Q4,2024,EQ,1639.00,1665.45,1632.50,1633.15,1661.00,1662.40,1649.38,1794.00,1363.55,10877383.00,17940924970.40,244906.00
09-10-2024,Wednesday,October,Q4,2024,EQ,1649.50,1656.75,1628.70,1651.05,1638.00,1633.15,1640.12,1794.00,1363.55,20562821.00,33725505661.60,442682.00
08-10-2024,Tuesday,October,Q4,2024,EQ,1630.00,1656.80,1622.00,1617.80,1651.25,1651.05,1645.56,1794.00,1363.55,14867203.00,24464906859.05,357296.00
07-10-2024,Monday,October,Q4,2024,EQ,1652.20,1659.00,1613.00,1657.65,1623.05,1617.80,1631.55,1794.00,1363.55,47229148.00,77056814750.10,535347.00
04-10-2024,Friday,October,Q4,2024,EQ,1674.50,1690.65,1653.00,1682.00,1661.25,1657.65,1673.77,1794.00,1363.55,24341616.00,40742181439.25,419392.00
03-10-2024,Thursday,October,Q4,2024,EQ,1715.65,1726.15,1673.35,1726.20,1681.00,1682.00,1694.79,1794.00,1363.55,24236699.00,41076220098.05,520129.00
01-10-2024,Tuesday,October,Q4,2024,EQ,1724.00,1742.00,1720.10,1732.05,1728.30,1726.20,1725.83,1794.00,1363.55,12286142.00,21203853820.45,237679.00
30-09-2024,Monday,September,Q3,2024,EQ,1748.80,1751.45,1724.40,1752.65,1732.00,1732.05,1734.57,1794.00,1363.55,13191767.00,22882063615.10,343613.00
27-09-2024,Friday,September,Q3,2024,EQ,1777.00,1778.20,1750.00,1783.45,1753.00,1752.65,1759.73,1794.00,1363.55,17806751.00,31335062628.80,339917.00
26-09-2024,Thursday,September,Q3,2024,EQ,1773.05,1788.00,1768.05,1779.10,1778.00,1783.45,1778.51,1794.00,1363.55,15949822.00,28366959862.95,343553.00
25-09-2024,Wednesday,September,Q3,2024,EQ,1760.15,1788.00,1760.15,1768.05,1779.85,1779.10,1778.97,1794.00,1363.55,15982656.00,28432592068.70,498237.00
24-09-2024,Tuesday,September,Q3,2024,EQ,1765.00,1781.65,1754.25,1759.80,1766.70,1768.05,1768.80,1794.00,1363.55,16519518.00,29219757725.30,404809.00
23-09-2024,Monday,September,Q3,2024,EQ,1749.00,1766.35,1740.25,1741.20,1757.00,1759.80,1756.93,1794.00,1363.55,13482675.00,23688096929.70,449232.00
20-09-2024,Friday,September,Q3,2024,EQ,1716.50,1744.95,1707.55,1708.50,1737.20,1741.20,1734.60,1794.00,1363.55,30311693.00,52578627456.00,519608.00
19-09-2024,Thursday,September,Q3,2024,EQ,1699.20,1719.00,1699.15,1694.80,1707.70,1708.50,1710.95,1794.00,1363.55,15325888.00,26221770150.40,347649.00
18-09-2024,Wednesday,September,Q3,2024,EQ,1671.85,1698.90,1671.10,1668.80,1692.95,1694.80,1691.30,1794.00,1363.55,20458671.00,34601683780.25,447311.00
17-09-2024,Tuesday,September,Q3,2024,EQ,1678.00,1678.00,1664.15,1670.95,1668.30,1668.80,1668.90,1794.00,1363.55,10063561.00,16795097219.15,273207.00
16-09-2024,Monday,September,Q3,2024,EQ,1667.00,1677.80,1664.05,1665.95,1670.00,1670.95,1670.83,1794.00,1363.55,7586410.00,12675630406.45,214575.00
13-09-2024,Friday,September,Q3,2024,EQ,1674.00,1674.00,1657.05,1666.60,1664.80,1665.95,1663.66,1794.00,1363.55,11930266.00,19847946539.35,275521.00
12-09-2024,Thursday,September,Q3,2024,EQ,1654.00,1670.00,1647.05,1643.90,1661.45,1666.60,1659.83,1794.00,1363.55,16212023.00,26909182591.25,266121.00
11-09-2024,Wednesday,September,Q3,2024,EQ,1650.40,1652.50,1639.20,1650.35,1650.00,1643.90,1645.85,1794.00,1363.55,11113342.00,18290901279.50,248100.00
10-09-2024,Tuesday,September,Q3,2024,EQ,1654.00,1654.00,1638.00,1646.50,1650.80,1650.35,1648.20,1794.00,1363.55,13303323.00,21926534318.85,306124.00
09-09-2024,Monday,September,Q3,2024,EQ,1638.00,1648.50,1630.10,1636.95,1644.85,1646.50,1640.85,1794.00,1363.55,11896457.00,19520244474.05,258547.00
06-09-2024,Friday,September,Q3,2024,EQ,1638.30,1647.75,1634.10,1645.45,1638.15,1636.95,1639.77,1794.00,1363.55,13014801.00,21341304566.10,296891.00
05-09-2024,Thursday,September,Q3,2024,EQ,1646.00,1649.90,1642.00,1641.80,1644.40,1645.45,1645.43,1794.00,1363.55,11438159.00,18820712001.80,245493.00
04-09-2024,Wednesday,September,Q3,2024,EQ,1639.00,1644.80,1632.00,1637.35,1641.05,1641.80,1639.54,1794.00,1363.55,12341372.00,20234215559.05,294496.00
03-09-2024,Tuesday,September,Q3,2024,EQ,1634.00,1639.95,1624.60,1626.95,1638.00,1637.35,1632.11,1794.00,1363.55,18641430.00,30424819912.05,292439.00
02-09-2024,Monday,September,Q3,2024,EQ,1646.80,1646.80,1623.20,1636.90,1626.00,1626.95,1631.94,1794.00,1363.55,17024840.00,27783483803.95,375245.00
30-08-2024,Friday,August,Q3,2024,EQ,1656.00,1662.00,1621.15,1638.55,1625.75,1636.90,1638.34,1794.00,1363.55,222671050.00,364811305104.20,564643.00
29-08-2024,Thursday,August,Q3,2024,EQ,1642.00,1644.40,1631.15,1637.10,1639.95,1638.55,1637.56,1794.00,1363.55,24526302.00,40163206501.15,432962.00
28-08-2024,Wednesday,August,Q3,2024,EQ,1637.75,1639.75,1630.20,1637.75,1635.95,1637.10,1636.29,1794.00,1363.55,13460594.00,22025391586.45,275424.00
27-08-2024,Tuesday,August,Q3,2024,EQ,1643.40,1647.40,1632.20,1639.95,1634.45,1637.75,1639.59,1794.00,1363.55,17886622.00,29326792469.00,292507.00
26-08-2024,Monday,August,Q3,2024,EQ,1632.20,1647.95,1632.20,1625.05,1640.00,1639.95,1642.31,1794.00,1363.55,11182133.00,18364486559.55,275112.00
23-08-2024,Friday,August,Q3,2024,EQ,1634.00,1634.00,1623.00,1631.30,1625.20,1625.05,1627.63,1794.00,1363.55,10166711.00,16547668751.15,212238.00
22-08-2024,Thursday,August,Q3,2024,EQ,1632.00,1638.30,1628.00,1625.80,1628.95,1631.30,1632.58,1794.00,1363.55,10650319.00,17387521802.75,272441.00
21-08-2024,Wednesday,August,Q3,2024,EQ,1628.10,1634.55,1617.80,1637.70,1628.00,1625.80,1624.85,1794.00,1363.55,23815452.00,38696527016.25,323415.00
20-08-2024,Tuesday,August,Q3,2024,EQ,1627.45,1646.00,1627.45,1631.55,1634.00,1637.70,1639.14,1794.00,1363.55,15567247.00,25516952644.85,240802.00
19-08-2024,Monday,August,Q3,2024,EQ,1637.65,1637.65,1623.70,1632.10,1632.75,1631.55,1628.46,1794.00,1363.55,9751082.00,15879278800.80,166314.00
16-08-2024,Friday,August,Q3,2024,EQ,1628.50,1634.15,1611.00,1607.80,1631.50,1632.10,1624.71,1794.00,1363.55,13924623.00,22623479529.55,302506.00
14-08-2024,Wednesday,August,Q3,2024,EQ,1606.50,1613.70,1603.20,1603.20,1607.80,1607.80,1607.97,1794.00,1363.55,16167214.00,25996412110.40,259067.00
13-08-2024,Tuesday,August,Q3,2024,EQ,1628.00,1632.40,1601.15,1660.10,1605.90,1603.20,1613.32,1794.00,1363.55,27027521.00,43604163966.10,601558.00
12-08-2024,Monday,August,Q3,2024,EQ,1652.00,1675.95,1647.35,1650.20,1660.00,1660.10,1664.63,1794.00,1363.55,19658098.00,32723506965.00,363538.00
09-08-2024,Friday,August,Q3,2024,EQ,1652.00,1662.55,1645.80,1642.70,1650.00,1650.20,1655.58,1794.00,1363.55,13322309.00,22056157155.50,291916.00
08-08-2024,Thursday,August,Q3,2024,EQ,1624.00,1653.30,1619.25,1623.50,1640.20,1642.70,1638.73,1794.00,1363.55,16988475.00,27839562575.60,327468.00
07-08-2024,Wednesday,August,Q3,2024,EQ,1617.00,1630.00,1602.20,1601.20,1628.50,1623.50,1617.23,1794.00,1363.55,21173132.00,34241847264.50,337720.00
06-08-2024,Tuesday,August,Q3,2024,EQ,1630.00,1632.95,1593.30,1615.75,1602.70,1601.20,1608.02,1794.00,1363.55,22558025.00,36273837922.85,388854.00
05-08-2024,Monday,August,Q3,2024,EQ,1640.10,1646.00,1601.00,1659.15,1616.05,1615.75,1622.77,1794.00,1363.55,20666817.00,33537431288.70,464696.00
02-08-2024,Friday,August,Q3,2024,EQ,1631.00,1670.50,1631.00,1638.80,1658.05,1659.15,1658.62,1794.00,1363.55,22059619.00,36588623126.10,457935.00
01-08-2024,Thursday,August,Q3,2024,EQ,1622.90,1650.05,1617.95,1615.75,1647.65,1638.80,1632.59,1794.00,1363.55,13107587.00,21399347523.90,287915.00
31-07-2024,Wednesday,July,Q3,2024,EQ,1614.00,1627.90,1609.20,1615.55,1617.95,1615.75,1617.31,1794.00,1363.55,18910242.00,30583806061.70,334519.00
30-07-2024,Tuesday,July,Q3,2024,EQ,1602.00,1634.75,1599.00,1605.05,1614.20,1615.55,1615.74,1794.00,1363.55,27297917.00,44106424811.40,455812.00
29-07-2024,Monday,July,Q3,2024,EQ,1615.00,1631.85,1598.30,1618.15,1605.00,1605.05,1611.97,1794.00,1363.55,25500574.00,41106152746.35,472326.00
26-07-2024,Friday,July,Q3,2024,EQ,1605.00,1621.75,1596.45,1616.60,1616.30,1618.15,1609.37,1794.00,1363.55,21905270.00,35253630971.05,355180.00
25-07-2024,Thursday,July,Q3,2024,EQ,1593.00,1625.00,1593.00,1604.05,1616.75,1616.60,1613.59,1794.00,1363.55,12767866.00,20602046896.30,279974.00
24-07-2024,Wednesday,July,Q3,2024,EQ,1608.15,1621.00,1588.05,1618.40,1608.35,1604.05,1604.13,1794.00,1363.55,30864103.00,49509947077.30,432932.00
23-07-2024,Tuesday,July,Q3,2024,EQ,1647.55,1647.80,1605.00,1642.55,1616.60,1618.40,1623.96,1794.00,1363.55,26001076.00,42224780773.65,449509.00
22-07-2024,Monday,July,Q3,2024,EQ,1617.00,1651.00,1612.65,1607.30,1642.00,1642.55,1637.66,1794.00,1363.55,26872411.00,44007904357.70,548620.00
19-07-2024,Friday,July,Q3,2024,EQ,1616.00,1623.00,1603.50,1614.80,1605.00,1607.30,1609.91,1794.00,1363.55,13001076.00,20930535372.85,276983.00
18-07-2024,Thursday,July,Q3,2024,EQ,1608.00,1623.95,1599.15,1619.75,1615.00,1614.80,1613.29,1794.00,1363.55,16858532.00,27197655556.65,332318.00
16-07-2024,Tuesday,July,Q3,2024,EQ,1620.75,1627.00,1616.80,1622.10,1621.00,1619.75,1621.84,1794.00,1363.55,14475162.00,23476341772.45,269979.00
15-07-2024,Monday,July,Q3,2024,EQ,1623.50,1629.80,1615.20,1622.70,1623.00,1622.10,1622.00,1794.00,1363.55,16687847.00,27067666840.40,217738.00
