Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Company
27-08-2024,EQ,1220,1220.55,1208,1220.05,1210,1209.6,1213.04,1269,828.25,483025,585926454.6,26355,TATA
26-08-2024,EQ,1205,1221.85,1194.05,1196.8,1220,1220.05,1214.51,1269,828.25,1045317,1269547779,51598,TATA
23-08-2024,EQ,1212,1215,1194.9,1205.8,1196,1196.8,1203.98,1269,828.25,852159,1025978657,34002,TATA
22-08-2024,EQ,1184.05,1209.85,1181,1177.55,1206,1205.8,1201,1269,828.25,2041300,2451598940,75703,TATA
21-08-2024,EQ,1171.95,1181,1167.05,1171.2,1180,1177.55,1173.8,1269,828.25,802420,941879805.1,37354,TATA
20-08-2024,EQ,1182.95,1182.95,1166.75,1177.4,1171.45,1171.2,1171.67,1269,828.25,673329,788916982.5,40642,TATA
19-08-2024,EQ,1198,1200,1171.55,1187.75,1176.5,1177.4,1178.63,1269,828.25,682374,804264767.7,35525,TATA
16-08-2024,EQ,1168,1190.65,1168,1167.55,1187.15,1187.75,1182.59,1269,828.25,831846,983733782.4,46146,TATA
14-08-2024,EQ,1187,1187.1,1158.7,1178.8,1167.4,1167.55,1168.5,1269,828.25,991108,1158113290,63434,TATA
13-08-2024,EQ,1172.7,1182.75,1167.6,1170.8,1180.85,1178.8,1177.56,1269,828.25,785371,924820661.1,43592,TATA
12-08-2024,EQ,1176,1184.35,1166.05,1186.15,1172.65,1170.8,1174.99,1269,828.25,787584,925407144.7,52309,TATA
09-08-2024,EQ,1188.9,1188.9,1180,1178.3,1183.15,1186.15,1185.3,1269,828.25,489864,580636782.1,29354,TATA
08-08-2024,EQ,1192,1195,1174,1199.6,1176.05,1178.3,1180.51,1269,828.25,1298997,1533476969,67004,TATA
07-08-2024,EQ,1182.55,1207.75,1182.55,1185.6,1200,1199.6,1199.14,1269,828.25,759323,910538025.5,47616,TATA
06-08-2024,EQ,1200,1212.1,1182.85,1199.4,1187,1185.6,1197.8,1269,828.25,1304014,1561952119,58708,TATA
05-08-2024,EQ,1176,1213.6,1151,1193.65,1202,1199.4,1200.25,1269,828.25,3718458,4463084900,148915,TATA
